source,query_id,passage_num,doc_idx,is_positive_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,category
sweep,6,5.0,4,True,positive,-1.03125,0,0.0,1.1116152670321071,7.500005085460075,False,0,False,-6.53125,neutral
sweep,7,5.0,0,False,negative,0.125,0,0.0,0.4718075819583541,5.615768301690185,False,0,False,-2.671875,neutral
sweep,7,5.0,1,False,negative,-1.796875,0,0.0,1.6004845079907826,13.710167624017023,False,0,False,-2.671875,neutral
sweep,7,5.0,2,True,positive,-1.1875,0,0.0,1.1314278466054302,14.205058987417711,False,0,False,-2.671875,neutral
sweep,7,5.0,3,False,negative,0.5,0,0.0,0.93866940254095,10.083730811449028,False,0,False,-2.671875,neutral
sweep,7,5.0,4,True,positive,-22.703125,0,0.0,1.878675060245586,23.27179858517508,True,0,False,-2.671875,confidence-only
sweep,8,5.0,0,False,negative,-0.6875,0,0.0,0.6292885884277427,8.39518559720923,False,0,False,-8.6875,neutral
sweep,8,5.0,1,False,negative,-0.9375,0,0.0,0.5828158794161032,6.481932698041269,False,0,False,-8.6875,neutral
sweep,8,5.0,2,False,negative,-25.5625,0,0.0,1.5151291285561277,21.30360356952673,True,0,False,-8.6875,confidence-only
sweep,8,5.0,3,True,positive,-2.5,0,0.0,1.0101114628788437,11.308901892845924,True,0,False,-8.6875,confidence-only
sweep,8,5.0,4,True,positive,-1.25,0,0.0,0.889131943720116,11.534676171518592,False,0,False,-8.6875,neutral
sweep,9,5.0,0,False,negative,-0.3046875,0,0.0,0.7058008895766239,8.983103999906302,False,0,False,-0.28515625,neutral
sweep,9,5.0,1,True,positive,-0.189453125,0,0.0,0.6872432483686913,10.669871118979785,False,0,False,-0.28515625,neutral
sweep,9,5.0,2,False,negative,0.0546875,0,0.0,1.666933148558621,13.98373228106924,False,0,False,-0.28515625,neutral
sweep,9,5.0,3,False,negative,-0.044921875,0,0.0,0.2636551107476738,3.911264848317341,False,0,False,-0.28515625,neutral
sweep,9,5.0,4,True,positive,-0.0078125,0,0.0,1.6157073963038255,11.517174988512664,False,0,False,-0.28515625,neutral
sweep,0,7.0,0,False,negative,-1.625,0,0.0,1.5248684098720595,11.401310787680613,False,0,False,-8.25,neutral
sweep,0,7.0,1,True,positive,-21.875,0,0.0,1.24681365674553,15.586647405588694,True,0,False,-8.25,confidence-only
sweep,0,7.0,2,True,positive,-28.5,0,0.0,1.4909369055662574,19.66351238273981,True,0,False,-8.25,confidence-only
