source,query_id,passage_num,doc_idx,is_gt_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,is_positive_doc
sweep,6,5.0,2,True,ground-truth,-36.1875,1,0.0,1.8994344524147515,21.77496141229158,True,1,True,-11.8125,
sweep,7,5.0,0,False,counter-factual,0.0625,-1,0.0,2.0038472708819683,15.21384138042641,True,0,False,-3.125,
sweep,7,5.0,1,True,ground-truth,-0.125,0,0.0,1.1678159108469273,12.564705474099668,False,0,False,-3.125,
sweep,7,5.0,2,False,counter-factual,-20.0,-1,0.0,1.69817053388882,21.437064264682643,True,0,False,-3.125,
sweep,7,5.0,3,False,counter-factual,-1.28125,0,0.0,1.0987191076604326,10.77442721501108,False,0,False,-3.125,
sweep,7,5.0,4,False,counter-factual,-0.71875,-1,0.0,1.2716991231284547,8.300105306479189,True,0,False,-3.125,
sweep,8,5.0,0,False,counter-factual,-1.25,0,0.0,1.440457083473919,16.30196304641199,False,0,False,-4.3125,
sweep,8,5.0,1,True,ground-truth,0.703125,0,0.0,0.5909765138800914,6.902947082691731,False,0,False,-4.3125,
sweep,8,5.0,2,False,counter-factual,-0.125,0,0.0,0.47180415074770815,5.4067559928164455,False,0,False,-4.3125,
sweep,8,5.0,3,False,counter-factual,-0.3125,0,0.0,0.5792878895322773,6.534720154660058,False,0,False,-4.3125,
sweep,8,5.0,4,False,counter-factual,-19.3125,0,0.0,1.5688426443912558,14.280011621237355,True,0,False,-4.3125,
sweep,9,5.0,0,False,counter-factual,0.5859375,0,0.0,1.8681143651117198,16.613052562895064,False,0,False,-0.99609375,
sweep,9,5.0,1,False,counter-factual,0.1484375,0,0.0,0.6030649888397366,9.405189848398232,False,0,False,-0.99609375,
sweep,9,5.0,2,True,ground-truth,-4.19140625,0,0.0,0.6915451542260137,11.269236948553873,True,0,False,-0.99609375,
sweep,9,5.0,3,False,counter-factual,-0.92578125,-1,0.0,2.17530530281213,20.09088464761556,True,0,False,-0.99609375,
sweep,0,7.0,0,False,counter-factual,-10.25,0,0.0,0.912254945178211,8.94880776756045,True,0,False,-28.0,
sweep,0,7.0,1,False,counter-factual,-18.0,0,0.0,0.8904745440827595,9.998470758776683,True,0,False,-28.0,
sweep,0,7.0,2,False,counter-factual,-22.25,0,0.0,0.8566951310936827,11.199872086507222,True,0,False,-28.0,
sweep,0,7.0,3,False,counter-factual,0.375,0,0.0,0.30986713301631463,4.283823101533421,False,0,False,-28.0,
sweep,0,7.0,4,True,ground-truth,-0.625,0,0.0,0.6018783623903704,6.564825900926762,False,0,False,-28.0,
sweep,0,7.0,5,False,counter-factual,1.0,0,0.0,0.605199974194529,6.388666246959049,False,0,False,-28.0,
sweep,1,7.0,0,False,counter-factual,-0.1875,0,0.0,1.1887502381197577,11.91881000226669,False,0,False,-8.0,
sweep,1,7.0,1,False,counter-factual,-12.0,-1,0.0,1.442496795856356,13.17651997253347,True,0,False,-8.0,
sweep,1,7.0,2,False,counter-factual,-1.5,0,0.0,0.6790671053890741,10.522073419758884,False,0,False,-8.0,
sweep,1,7.0,3,False,counter-factual,-0.75,0,0.0,0.7256884196358454,8.861481767780532,False,0,False,-8.0,
sweep,1,7.0,4,False,counter-factual,0.03125,-1,0.0,0.697133453646061,10.460319108904407,True,0,False,-8.0,
sweep,1,7.0,5,True,ground-truth,-0.125,0,0.0,0.48595152744078934,7.679970073100187,False,0,False,-8.0,
sweep,1,7.0,6,False,counter-factual,-3.0,-1,0.0,0.8246883503228912,8.458159947599475,True,0,False,-8.0,
sweep,2,7.0,0,False,counter-factual,-2.1953125,0,0.0,2.5788181934932717,24.59289341725909,True,0,False,-0.4453125,
sweep,2,7.0,1,False,counter-factual,-0.0546875,0,0.0,1.3197522701100364,13.3892068404313,False,0,False,-0.4453125,
sweep,2,7.0,2,True,ground-truth,-0.1953125,0,0.0,1.7442130830237634,13.722920444152209,False,0,False,-0.4453125,
sweep,3,7.0,0,False,counter-factual,-0.328125,0,0.0,1.430176812175554,9.470151246278574,False,0,False,-3.28125,
sweep,3,7.0,1,False,counter-factual,-0.09375,0,0.0,0.7268342411637887,7.055605242557009,False,0,False,-3.28125,
sweep,3,7.0,2,False,counter-factual,0.046875,0,0.0,0.9245881087368842,10.503484253343736,False,0,False,-3.28125,
sweep,3,7.0,3,False,counter-factual,-1.0,0,0.0,0.8479982874127061,8.723491429681793,False,0,False,-3.28125,
sweep,3,7.0,4,False,counter-factual,-0.265625,0,0.0,0.6029107785505984,6.106761384326993,False,0,False,-3.28125,
sweep,3,7.0,5,True,ground-truth,-0.171875,0,0.0,0.47992037133555465,7.205220301525213,False,0,False,-3.28125,
sweep,3,7.0,6,False,counter-factual,-0.328125,0,0.0,0.7008961440487474,9.14125134154173,False,0,False,-3.28125,
sweep,4,7.0,0,False,counter-factual,-4.1875,1,0.0,1.4982917916445255,11.855086300861172,True,1,True,-10.6875,
sweep,4,7.0,1,False,counter-factual,-28.5625,0,0.0,1.1354904624605044,12.653162355280507,True,1,True,-10.6875,
sweep,4,7.0,2,True,ground-truth,-27.3125,1,0.0,1.1804045995983172,13.138624939590926,True,1,True,-10.6875,
sweep,4,7.0,3,False,counter-factual,-34.0625,0,0.0,1.6445268709815615,15.793290032585423,True,1,True,-10.6875,
sweep,5,7.0,0,False,counter-factual,0.17578125,0,0.0,1.2699493919533869,9.496328191393067,False,0,False,-1.015625,
sweep,5,7.0,1,False,counter-factual,0.0234375,0,0.0,1.2461855166937128,8.76013412157628,False,0,False,-1.015625,
sweep,5,7.0,2,False,counter-factual,0.16015625,0,0.0,0.5038199938446318,5.306282439246413,False,0,False,-1.015625,
sweep,5,7.0,3,False,counter-factual,0.32421875,0,0.0,1.2428092570921854,9.050670771213937,False,0,False,-1.015625,
sweep,5,7.0,4,False,counter-factual,-0.09375,-1,0.0,1.2448482412031656,8.33011570550463,True,0,False,-1.015625,
sweep,5,7.0,5,True,ground-truth,-0.203125,0,0.0,1.2423930613029073,7.949476975144291,False,0,False,-1.015625,
sweep,5,7.0,6,False,counter-factual,-0.0234375,-1,0.0,0.48566103886982004,6.240201817941391,True,0,False,-1.015625,
sweep,6,7.0,0,False,counter-factual,-9.9375,0,0.0,1.0773904006891708,10.14933040766548,True,1,True,-8.9375,
sweep,6,7.0,1,False,counter-factual,-2.125,1,0.0,0.5764809596105365,6.340683842454995,True,1,True,-8.9375,
sweep,6,7.0,2,True,ground-truth,-31.8125,1,0.0,2.0356136473934403,22.872938531052267,True,1,True,-8.9375,
sweep,7,7.0,0,False,counter-factual,-0.21875,0,0.0,1.142532309726703,9.105437464636397,False,0,False,-4.15625,
sweep,7,7.0,1,False,counter-factual,0.859375,0,0.0,0.8668056495764271,9.77155967110652,False,0,False,-4.15625,
sweep,7,7.0,2,False,counter-factual,-18.84375,0,0.0,1.1567666967834818,14.813923903240886,True,0,False,-4.15625,
sweep,7,7.0,3,False,counter-factual,-1.71875,-1,0.0,0.539993984965915,5.879001460018046,True,0,False,-4.15625,
sweep,7,7.0,4,False,counter-factual,0.625,-1,0.0,0.8336599421295432,10.115068783420012,True,0,False,-4.15625,
sweep,7,7.0,5,True,ground-truth,0.25,0,0.0,0.7007698947155021,7.5711785512085035,False,0,False,-4.15625,
sweep,7,7.0,6,False,counter-factual,1.34375,0,0.0,0.8471779098841106,9.167867494970645,False,0,False,-4.15625,
sweep,8,7.0,0,False,counter-factual,0.25,0,0.0,1.2417957812499443,15.190276478300296,False,0,False,-7.0,
sweep,8,7.0,1,False,counter-factual,-0.28125,0,0.0,0.7963779040364171,9.71463838880613,False,0,False,-7.0,
sweep,8,7.0,2,False,counter-factual,0.0,0,0.0,0.3618106438236309,5.459541157599691,False,0,False,-7.0,
sweep,8,7.0,3,False,counter-factual,-0.375,0,0.0,0.3367241473947602,5.221160038925913,False,0,False,-7.0,
sweep,8,7.0,4,False,counter-factual,-0.5,0,0.0,0.43439510594879704,5.467308018512752,False,0,False,-7.0,
sweep,8,7.0,5,True,ground-truth,-0.78125,0,0.0,0.42178384296741045,5.298990054818818,False,0,False,-7.0,
